 Blood Bank Name, State, District, Address,Pincode, Mobile, Email, Website, Category, Blood Component Available, Latitude, Longitude
GMERS Medical College and Hospital Blood Bank Dharpur ,Gujarat,PATAN,"Blood Bank, GMERS Medical College, Dharpur, Patan ",N/A,7567889901,"bb001dharpur@gmail.com, drvipul09@gmail.com",,Government,NO,23.84643,72.191676
"Bahansali Trust Raktdan Kendra, Radhanpur ",Gujarat,PATAN,"Bahansali Trust Raktdan Kendra, Bahansali Trust Hospital
Highway, Radhanpur, Patan",N/A,9723998381,btrust@rediffmail.com,,Private,NO,23.823539,71.616139
General Hospital Blood Bank Siddhpur,Gujarat,PATAN,"Blood Bank, General Hospital, Siddhapur, Patan",N/A,9879108055,bloodbanksiddhpur@gmail.com,,Government,NO,23.916169,72.372983
General Hospital Blood Bank Porbandar,Gujarat,PORBANDAR,"Blood Bank, General Hospital, Porbandar",360575,"09099079158, 09979882775","dr.l.a.dhamelia@gmail.com, bhp.lab.bb@gmail.com",,Government,NO,21.636578,69.628472
Asha Children Hospital and Blood Bank,Gujarat,PORBANDAR,"Asha Children Hospital and Blood Bank, Near Vasi Talav
Porbandar",360575,9428436749,ashvinbharaniyacharitable@yahoo.com,,Private,NO,21.633396,21.633396
Shri Ram Blood Bank Porbandar,Gujarat,PORBANDAR,"Shri Ram Blood Bank, Star Compound, M.G. Road
Porbandar",360575,8128987109,jp.trust.jethva@gmail.com,,Private,NO,21.640642,69.604689
Astha Voluntary Blood Bank Gondal,Gujarat,RAJKOT,"Astha Voluntary Blood Bank, Jetpur Road, Opposite to
Hava Mahel, Near G.F.D.C. Gate, Gondal, Rajkot",360330,9879531616,aasthabloodbank@yahoo.com,,Private,NO,21.959147,70.803122
P.D.U. Medical College Blood Bank,Gujarat,RAJKOT,"Blood Bank, P.D.U. Medical College and General Hospital
R.Nc.102, Jamnagar Road, Rajkot",360001,"09825389050, 09825416609","cs_raj@gujarat.gov.in, gauravidhruva@yahoo.co.in",http://pdumcrajkot.org/ContactUs.aspx,Government,YES,22.304595,70.799732
Rajkot Voluntary Blood Bank and Research Centre,Gujarat,RAJKOT,"Rajkot Voluntary Blood Bank and Research Centre
Pitroda House, Malaviya Road, Rajkot",360002,"09898700101, 08460781366","savelife@999life.org, kamlesh.dharajiya@999life.org",http://www.blood4life.org.in/,Private,YES,22.287302,70.8003
Red Cross Blood Bank Rajkot,Gujarat,RAJKOT,"Red Cross Building, 1st Floor, Suchak Road, Near Kundaliya College, Rajkot",360001,9426953839,rajkot_ircs@yahoo.co.in,http://www.redcrossgujarat.org/,Government,YES,22.295381,70.796956
 Saurastra Voluntary Blood Bank Rajkot,Gujarat,RAJKOT,"Kathiyawad Medical Education Trust sanchalit Saurastra Voluntary Blood Bank and Research Centre, Shashikunj commercial complex, 621, Mangal Park, Nirmalaconvent Road, Near Madhi Chowk, Rajkot",360002,9825082454,"svbbrjt@gmail.com, vanmali123@yahoo.co.in",,Charity,YES,22.30301,70.787022
General Hospital Blood Bank Morbi,Gujarat,RAJKOT,"Blood Bank, General Hospital, Morbi, Rajkot",363641,9998476158,"ghmorbi@yahoo.co.in, drkapshavara20@gmail.com",,Government,NO,22.815814,70.831473
Nationality Development Foundation Blood Bank Rajkot,Gujarat,RAJKOT,"Blood Bank, Nationality Development Foundation
Smt. S.C.Patel (Field Marshal Blood Banks), Medicare, 3rd Floor, Vidyanagar Main Road, Rajkot",360002,9825547459,bfieldmarshal@yahoo.in,,Charity,YES,22.283334,70.799999
"Nathani Voluntary Blood Bank,  Rajkot ",Gujarat,RAJKOT,"Nathani Voluntary Blood Bank and Blood Tranfusion. 
11, Tejash Building,20/22, New Janpath Plot, Rajkot ",N/A,"09227600111,   09825912518",nathanibloodbank@gmail.com,,Private,YES,22.2943,70.788614
Shiv Voluntary Blood Bank Morbi,Gujarat,RAJKOT,"Shiv Voluntary Blood Bank, 2nd Floor, Pawan Complex, Sanala Road, Near Sagar Hospital, Morbi, Rajkot",,"09998959859, 09925052852",nilman_001@yahoo.co.in,,Private,NO,22.811453,70.828261
Jetpur Medical Foundation Trust Blood Bank Jetpur,Gujarat,RAJKOT,"Blood Bank, Jetpur Medical Foundation Trust, 2nd Floor, opp. Union Bank of India, Kanakiya Plot, Jetpur, Rajkot",360370,9426480401,,,Private,NO,21.757189,70.622644
Jagruti Charitable Trust Blood Bank Dhoraji,Gujarat,RAJKOT,"Jagruti Charitable Trust Blood Bank, Azad Chowk, Three Gate, Dhoraji, Rajkot",360410,9925873351,jkrajyaguru@yahoo.com,,Private,NO,21.731878,70.450128
GMERS Medical College Attach Sir Pratap General Hospital Blood Bank,Gujarat,Sabarkantha,"Blood Bank, GMERS Medical College Attach Sir Pratap General Hospital, Himmatnagar, Sabarkantha",383001,9099069454,bto.hmt@gmail.com,,Government,NO,23.595692,72.960688
Indian Red Cross Society Blood Bank Himmatnagar,Gujarat,Sabarkantha,"Blood Bank., Indian Red Cross Society Sabarkantha District Branch, Sheth Shri Jamanadas Madhavji Tanna , Red Cross Bhavan, Nr. G.P.O., State Highway
Himmatnagar, Sabarkantha",383001,9427691082,"ircshmt@sify.com, pareshmehta10@yahoo.com",http://www.redcrossgujarat.org/,Private,NO,23.056733,72.573372
Patel Voluntary Blood Bank Modasa,Gujarat,Sabarkantha,"Patel Voluntary Blood Bank, Dr. Yogesh Upadhyay&#39;s Hospital, Siddhi Vinayak Comlpex, Shamlaji Road, Modasa
Sabarkantha",,9898651107,bhavin1359@yahoo.com,,Private,NO,23.467375,73.297689
Trimurti Blood Bank,Gujarat,Sabarkantha,"Trimurti Blood Bank, B/H Trimurti Hospital, B/H Bus stop, Srinagar, Idar - 383430, Sabarkantha",383430,9898312397,mehtabloodbank@yahoo.co.in,,Private,NO,23.838678,23.838678
Late N.H. Ramani Memorial Voluntary Blood Bank and Navchetan Pathology Lab Modasa,Gujarat,Sabarkantha,"Late N.H. Ramani Memorial Voluntary Blood Bank and Navchetan Pathology Lab, 2nd floor, Upasana Complex, Nr. S.T. Stand, Modasa, Sabarkantha.",383315,9426036536,ramanibloodbank@yahoo.com,,Private,NO,23.459892,73.297569
New Civil Hospital Blood Bank,Gujarat,SURAT,"Blood Bank, The New Civil Hospital, Outside Majura Gate
Surat",395001,"09824196639, 09825121410, 09898585804, 09426772901",bloodbanknchs@gmail.com,http://www.nchsurat.org,Government,YES,21.180272,72.821117
Surat Raktdan Kendra,Gujarat,SURAT,"Surat Raktdan Kendra, Udhna Khatodara Health Centre
Near Chosath Joganiyo Mataji Mandir, Udhna, Magdalla Road, Surat.",394210,9327338036,srkrc2008@gmail.com,http://www.srkrc.org/,Government,YES,21.172667,72.829951
"Lok Samarpan Raktadan Kendra, Surat",Gujarat,SURAT,"Lok Samarpan Raktadan Kendra Blood Bank
15, Miranagar, Opp.Saurastra Bhavan
Mini Bazar, Varachha Road
Surat",395006,9.72778258709825E+020,lsbloodbank@gmail.com,http://lsbloodbank.org/,Private,YES,21.219718,72.910619
Shree Mahavir Health And Medical Relief Society Blood Bank,Gujarat,SURAT,"Blood Bank, Shree Mahavir Health And Medical Relief Society, Shri B.D.Mehta  Mahavir Heart Institute, Shree Mahavir Health Campus,  Athwagate, Ring road, Surat",395001,9824158042,mahavirbloodbankm@gmail.com,http://www.mahavirhospitals.com/,Private,YES,21.184104,72.813897
Shree Sardar Smarak Hospital Blood Bank,Gujarat,SURAT,"Blood Bank, Shree Sardar Smarak Hospital Blood Bank
Station Road, Sardar Baug, Bardoli, Surat",394602,"09427586310, 09879316223",&#34,info@sshbardoli.com,MD,Charity,31.05.2018,21.130451,73.108096
SMIMER Hospital Blood Bank,Gujarat,SURAT,"Blood Bank, Surat Municipal Institute for Medical Education and Research, (SMIMER), Umarwada, Surat",395010,9328664546,bbsmimer@yahoo.com,http://smimer.suratmunicipal.gov.in/,Government,YES,21.196246,72.845477
 Surat Health Care Foundation Blood Bank,Gujarat,SURAT,"Blood Bank, Aminaben Gangat and Ayeshaben Patel Blood Bank, Surat Health Care Foundation, C/o. Lokhat Hospital, Nr. Rampura Petrol Pump, Rampura, Surat",395003,9825193328,bloodbankshf@yahoo.com,http://www.bloodbankshf.com,Charity,YES,21.195,72.819444
General Hospital Surendranagar Blood Bank,Gujarat,SURENDRANAGAR,"Blood Bank, General Hospital, Surendranagar",363001,9727712214,cdmo.health.surendranagar@gmail.com,,Government,NO,22.7226,71.649165
C. U. Shah Medical College and Hospital Blood Bank,Gujarat,SURENDRANAGAR,"Blood Bank, C. U. Shah Medical College and General Hospital, Dudhrej Road, Surerndranagar",363001,"07383555835, 09904022772",dr_hardik82@yahoo.com,http://cusmc.org/,Charity,YES,22.741751,71.622137
Sharddha Voluntary Blood Bank and Pathology Laboratory Dhangadhra,Gujarat,SURENDRANAGAR,"Shraddha Vol. Blood Bank and Pathology Laboratory, Halani Chamber, 1st floor, Zala Road, Dhangadhra, Surendranagar",,9426922330,shraddhapatho99@yahoo.com,,Private,YES,22.990836,71.47162
Laxmiben Kushalbhai Patel Blood Bank ,Gujarat,TAPI,"Laxmiben Kushalbhai Patel Blood Bank, 1st Floor, Janak Smarak  Hospital, Kanpura, Vyara, Tapi",394650,9825788464,lkpbb.vyara@yahoo.com,,Government,YES,21.113314,21.113314
Maliba Raktdan Kendra (IRCS),Gujarat,TAPI,"Blood Bank, Indian Red Cross Society, Maliba Raktadan Kendra, Bhikhiba Redcross Bhavan, Vilasini K. Desai aarogya Sankul, Near Vanchetana, Near Kakrapar, Vyara, Tapi",394651,9825788464,,,Private,NO,21.118758,73.404128
S. S. G. Hospital Vadodara,Gujarat,VADODARA,"Blood Bank, The Government Medical College and S.S.G. Hospital, Vadodara",390001,9824275361,bloodbankssgh@yahoo.com,http://www.medicalcollegebaroda.edu.in/Hospital.htm,Government,YES,22.307133,73.189731
Jamnabai Blood Bank,Gujarat,VADODARA,"Blood Bank, Jamnabai General Hospital, Vadodara",390001,8238012038,samir_path@yahoo.com,,Government,NO,22.300308,22.300308
"Medical Care Centre Trust, Shri Jalaram Blood Bank, Vadodara  ",Gujarat,VADODARA,"Medical Care Centre Trust, Shri Jalaram Blood Bank, Kashiben Gordhandas Patel Children Hospital,Surajben Gordhanbhai Patel Women&#39;s Hospital, Jalaram Marg
Karelibaug, Vadodara",390018,9825335065,"kgpchospital1984@yahoo.com, sunillab@yahoo.com, pannadesai@yahoo.in ",http://medicalcarecentretrust.com,Private,YES,22.314965,73.195356
Suraktam Blood Bank Vadodara,Gujarat,VADODARA,"Suraktam Blood Bank, G-7, Blue Chip Building, Near Stock Exchange, Sayajiganj, Vadodara",390005,"09825044906, 09409279666",suraktam@suraktambloodbank.org,http://www.suraktambloodbank.org/,Private,YES,22.307765,73.18633
Kailash Cancer Hospital & Research Centre Blood Bank.,Gujarat,VADODARA,"At: Muni seva ashram, po: Goraj, Tal : Waghodiya, Dist : vadodara, State : Gujarat.",391760,9825132377,bloodbank.kchrc@greenashram.org,http://www.greenashram.org/contactus,Private,YES,22.334629,73.464162
GMERS Medical College and General Hospital Blood Bank,Gujarat,VADODARA,"Blood Bank, GMERS General Hospital and Medical College
Gotri",390021,"09825436699, 09327212564, 08128395667",neenapdoshi@gmail.com,http://www.gmersmcgv.ac.in/,Government,NO,22.313751,73.148086
Indu Blood Bank Vadodara,Gujarat,VADODARA,"Indu Blood Bank, III Floor, Vinraj Plaza, Opposite to Government Press, Khoti, Vadodara",390001,"09825017334, 09925627186",induhealth@gmail.com,http://www.indubloodbank.org,Private,YES,22.304204,73.1935
Dhiraj General Blood Bank Vadodara,Gujarat,VADODARA,"Dhiraj General Blood Bank, Mu. Post:-Waghodiya, Pipariya, Vadodara",391760,"09601151034, 09979304421",dghmainoffice@yahoo.com,,Private,YES,22.30732,73.181079
Bhailal Amin General Hospital Blood Bank,Gujarat,VADODARA,"Blood Bank, Bhailal Amin General Hospital Blood Bank
Alembic Road, Vadodara",,9879977700,bloodbank@baghhospital.com,http://www.baghospital.com/,Government,YES,22.325426,73.163239
SBPP Cooperative Bank Foundation Blood Bank,Gujarat,VALSAD,"Blood Bank, SBPP Cooperative Bank Foundation Blood Bank of Manav Arogya Seva Kendra,  Jesal Cooperative and Housing Society, Near Pardi Hospital, National Highway-No.-8, Killa Pardi, Valsad",396125,9898798253,sbppbb@rdeiffmail.com,,Private,YES,20.516862,72.951211
General Hospital and GMERS Medical College Blood Bank,Gujarat,VALSAD,"Blood Bank, GMERS Medical College and General Hospital
Halar Road, Valsad",396001,9428020450,amitshah251@rediffmail.com,http://www.gmersmcvalsad.org/,Government,NO,20.59404,72.922063
Valsad Raktdan Kendra,Gujarat,VALSAD,"Shirin and Jamshed Gulzar Regional Blood Centre
Valsad Raktdan Kendra (A Voluntary Blood Bank and Research Centre), RNC Free Eye Hospital Compound
Opp. Mamlatdar Office, Valsad",396001,"09825144643, 09825158044",bloodbank.valsad@gmail.com,,Charity,YES,20.609737,72.929097
"Nukem Blood Bank, Vapi",Gujarat,VALSAD,"Nukem Blood Bank and Haria Rotary Hospital
Plot No. 363 A- 364, G.I.D.C., Vapi, Valsad",396001,9909618689,info@hariarotaryhospital.com,http://www.hariarotaryhospital.com/,Private,YES,20.381255,72.920819
Smt. Puriben Popat Lakha Blood Bank,Gujarat,VALSAD,"Blood Bank, Smt. Puriben  Popat  Lakha Lions Blood Bank sanchalak Lions Club of Vapi Udyognagar Charitable Trust
Plot No : 366/A, Prashant Park, Near Jain Tample, G.I.D.C
Vapi, Valsad",396195,9879536375,lionsbloodbank03@gmail.com,,Private,YES,20.373994,72.904781
Military Hospital Blood Bank Ambala,Haryana,AMBALA,"Blood Bank, Military Hosptial, Ambala Cantt.",133001,,,,Government,,30.353047,76.833532
MM Institute of Medical Sciences and Research Blood Bank,Haryana,AMBALA,Mulana,133207,9729984910,nasib_chand2004@yahoo.com,,Private,YES,30.252282,77.049488
Sanjeevani Blood Bank,Haryana,AMBALA,"111, Near Railway Road, Sadar Bazar, Ambala Cantt.",133001,9729177002,,,Private,NO,30.339065,76.836686
General Hospital Blood Bank Ambala City ,Haryana,AMBALA,"Civil Hospital, Ground Floor, Near Polytechnic Chowk ",134002,9416110322,bloodbankambala@gmail.com,,Government,NO,30.378711,76.779636
Philadelphia Mission Hospital Blood Bank,Haryana,AMBALA,"Post box 40, Near RA Chowk, Ambala",134002,9896101333,philhosp@gmail.com,,Charity,NO,30.383042,76.785947
General Hospital Bhiwani Blood Bank ,Haryana,BHIWANI,"Bhiwani, Park Colony, Vijay Nagar, Bhiwani,",127021,9467074267,pmobhiwani@gmail.com ,,Government,NO,28.797229,76.13081
City Blood Bank,Haryana,BHIWANI,"Circular Road, Bhiwani",,,,,Private,,0,0
Gold Field Hospital and Research Centre,Haryana,FARIDABAD,"Village and post office Chhainsa, Ballabgarh, Faridabad.",121004,8814899239,goldfieldbloodbank@gmail.com,,Private,YES,28.277083,77.454948
Badshah Khan General Hospital Blood Bank,Haryana,FARIDABAD,"New Industrial Township, Faridabad",121001,"09999132742, 09999577043",rbtcfaridabad@gmail.com,,Government,YES,28.392623,77.299274
Escorts Hospital and Research Center Limited Blood Bank,Haryana,FARIDABAD,"Neelam Bata Road, NIT Faridabad.",121001,9818277538,"bloodbank.fbd@fortishealthcare.com, satya.sharma1@fortishealthcare.com",,Private,YES,28.391378,77.306856
M/s Sunflag Hospital and Research Centre Blood Bank,Haryana,FARIDABAD,"M/s Sunflag Hospital and Research Centre, Sector-16A,  Faridabad",121001,9910605254,sunflagbloodbank@gmail.com,,Private,YES,28.40274,77.31823
Sarvodaya Hospital and Research Centre,Haryana,FARIDABAD,"YMCA Road, Sector-8, Near ESI Hospital, Faridabad",121006,9910726654,nem.5@sarvodyahospital.com,http://www.sarvodayahospital.com/,Private,YES,28.422451,77.316923
QRG Central Hospital and Research Centre Blood Bank,Haryana,FARIDABAD,"69, Delhi Mathura Road, Near Neelam Flyover, Ajronda Chowk, Sector 20 A,",121001,8826533714,qrgcentralhospital150@gmail.com,http://www.qrgmedicare.com/central/,Private,YES,28.393014,77.310047
Sant Bhagat Singh Maharaj Ji Charitable Hospital Blood Bank,Haryana,FARIDABAD,"No - 1697, K Block, NIT, Faridabad
",121001,,rbbfbd@gmail.com,,Charity,YES,28.383115,77.302218
Asian Institute of Medical Sciences Blood Bank,Haryana,FARIDABAD,"Badkhal Flyover Road, Sector 21-A, Faridabad",121001,9650099052,"uma.rani@aimsindiaco.in, blood.bank@aimsindiaco.in",http://www.aimsindia.com,Private,YES,28.425756,77.299823
Metro Heart Institute with Multispecialty,Haryana,FARIDABAD,"(A Unit of Metro Speciality Hospitals Private Limited) Sector 16A, Near Sunflag Hospital, Faridabad",121002,9818538609,drmeenu.pujani@metrohospitalfaridabad.com,http://www.metrohospitalfaridabad.com,Private,YES,28.406835,77.318049
General Hospital Blood Bank Fatehabad,Haryana,FATEHABAD,"District Blood Tranfusion Center, General Hospital 
Fatehabad",125050,9991290062,drprachi2@rediffmail.com,,Government,NO,29.517629,75.448988
Jagdambe Blood Bank,Haryana,FATEHABAD,"Aggarwal Hospital, Kali Mandir Road, Bhatia Nagar, Tohana, Near Ram Bhawan",125120,9416047692,dr.ijaggarwal@gmail.com,,Private,YES,29.715587,75.900961
Paras Health Care Private Limited Blood Bank,Haryana,GURGAON,"C-1, Sushant Lok City, Phase I, Sector 43, Gurgaon",122002,9560409969,bloodbank@parashospitals.com,http://www.parashealthcare.com,Private,YES,28.451204,77.087719
Artemis Medicare Services Limited Blood Bank,Haryana,GURGAON,"Artemis Hospital, Sector-51, Gurugram",122001,"09716122245, 09871019148, 09716122284",transfusion.medicine@artemishealthsciences.com,http://www.artemishospitals.com/,Private,YES,28.43132,77.072134
Medanta The Medicity Hospital Blood Bank,Haryana,GURGAON,"CH Baktawar Singh Road, Sector 38, Gurugram,",122001,9971183331,"aseem.tiwari@medanta.org, ganesh.rawat@medanta.org",http://www.medanta.org/,Private,YES,28.439105,77.040909
Alchemist Institute of Medical Sciences Blood Bank,Haryana,GURGAON,"Alchemist Institute of Medical Sciences (A Unit of Alchemist Hospitals Limited) DLF Golf Course Road, Sector-53, Saraswati Kunj",122002,,bloodbank.aims@alchemisthospitals.com,http://www.alchemisthospitals.com/,Private,YES,28.439328,77.10227
SGT Medical College Hospital and Research Institute Blood Bank ,Haryana,GURGAON,"Near Sultanpur Bird Sanctuary, Village Budhera, Gurugram, ",122505,"08587046950, 08750879875",Bloodbank@sgtuniversity.org,http://www.sgtmedicalcollege.org/,Charity,YES,28.478407,76.902714
Park Hospital Blood Bank,Haryana,GURGAON,"Q Block, South City 2, Sohna Road, Main Sec-47, ",122001,"08802141414, 07503141414","raj1963_kanwar@yahoo.com, parkmedicenters@gmail.com",https://www.parkhospital.in/,Private,YES,28.420003,77.048378
Fortis Memorial Research Institute Blood Bank,Haryana,GURGAON,"A unit of Fortis Hospitals Limited, Sector - 44, Opposite HUDA City Centre, Gurugram",122002,"08376908523, 08587099908",bloodbank.fmri@fortishealthcare.com,https://www.fmri.in/,Private,YES,28.456975,77.07299
Fortis Memorial Research Institute Blood Bank,Haryana,GURGAON,"Fortis Memorial Research Institute, Sector-44, Opposite HUDA City Centre, Gurgaon",122002,8587099908,fmri@fortishealthcare.,,Private,YES,28.456965,77.07297
"General Hospital Blood Bank, Gurugram",Haryana,GURGAON,"Near Bus Stand, Opposite MCG, Gurugram",122001,9868822200,dhs.csgur@gmail.com,,Government,NO,28.511841,76.986694
Umkal Blood Bank,Haryana,GURGAON,"H-Block, Palam Vihar, Opposite To Chancellor Club
Near Chiranjiv Bharti Public school",122017,,anuphoora65@gmail.com,,Private,YES,0,0
VPS Rockland Hospital Blood bank,Haryana,GURGAON,"Plot No. 2, Sector 5, IMT Manesar, Gurugram
opposite Raheja square",122051,9650319955,bloodbank.manesar@rocklandhospital.com,,Private,YES,0,0
"Columbia Asia Hospital - Palam Vihar, Blood Bank",Haryana,GURGAON,"Block F, Gol Chakkar, Near Ansal Plaza Mall, Palam Vihar, ",122017,,,http://india.columbiaasia.com/hospitals/palam-vihar,Private,,0,0
Paras Hospital Blood Bank,Haryana,GURGAON,"C-1 Sushant Lok- 1 Sector-43 Phase- I
",122002,,bloodbank@parashospitals.com,https://www.parashospitals.com/,Private,YES,0,0
Nalwa Pathology and Microbiology Laboratory Blood Bank,Haryana,HISAR,"SCF-83, Commercial UE-1, Red Square market",125001,9812030669,"nawlalab@gmail.com, navtejnalwa@gmail.com",,Private,YES,29.157025,75.722428
Central Medical Centre (CMC) Hospital Blood Bank,Haryana,HISAR,"Near Dabra Chowk Over Bridge, Hisar",125001,"088138 32032, 09996166233, 09416397790","cmchospitalhisar@gmail.com, cmchospitalhisar@hotmail.com",http://cmchospitalhisar.com/,Private,NO,29.140858,75.734103
Haryana Blood Bank,Haryana,HISAR,"16, Model Town, NearJjindal Hospital ",125001,"09996663336, 09812171175, 09215181918","haryanabloodbankhisar@gmail.com, director.edumate@gmail.com",,Private,NO,29.130234,75.74437
Manglam Blood Bank,Haryana,HISAR,"No 139, NH10-Tosham Road Connection Road, New Model Town, Jindal Hospital Road, ",125005,9254222767,manglam0578@gmail.com,,Private,YES,29.131899,75.744839
Hisar Blood Bank,Haryana,HISAR,Hisar,,9896036321,kalra_lab@yahoo.com,,Private,,0,0
Dr. Anant Ram Janta Hospital Blood Bank,Haryana,HISAR,"Hospital Road, Hisar, Barwala",125121,9416042096,dranantram_b@yahoo.com,,Private,NO,29.363162,75.901772
"National Blood Bank, Kharab Hospital Blood Bank",Haryana,HISAR,"47, Near Budhla Sant Mandir, Rishi nagar, ",125008,,mk885200@gmail.com,,Private,YES,29.310977,76.344908
Sarvodaya Blood Bank services,Haryana,HISAR,"Sravodaya Multi Speciality Hospital 
Opp. Red Cross Bhawan, Delhi Road, Hisar",125001,"08572096543, 09896036321","uk.sarvodaya@gmail.com, nem.s@sarvodayahospital.com",http://sarvodayahealthcare.co.in/,Private,YES,29.1409,75.733801
General Hospital Blood Bank Hisar,Haryana,HISAR,"Civil Hospital Blood Bank, Near Bus Stand ",125001,9468248136,drjoginderkapoor1962@gmail.com,,Government,NO,29.17,75.718602
"Maharaja Agrasen Medical College, Agroha, Blood Bank",Haryana,HISAR,Opp. Agroha Dham,125047,,bloodbank@mamc.edu.in,http://www.mamc.edu.in/,Government,YES,29.336707,75.622627
General Hospital Blood Bank Jhajjar,Haryana,JHAJJAR,Model Town,124103,9729078039,dhs.csjjr@hry.nic.in,,Government,NO,28.607735,76.642891
General Hospital Blood Bank Jind,Haryana,JIND,"Civil Hospital, DC Colony",126102,"09416139660, 09416556795","msghjind10@gmail.com, jaikumar.mann@gmail.com, bloodbankghjind@gmail.com",,Government,NO,29.311866,76.330022
National Blood Bank,Haryana,JIND,"Kharab Hospital, Gohana Road, Jind",,,,,Government,,0,0
Gangaputra Hospital and Research Centre Blood Bank,Haryana,JIND,"Kaithal Road, Kandela",126102,9871804058,lohamalewa@gmail.com,,Private,YES,29.378281,76.337165
Smt. Indira Gandhi Government Multispeciality Blood Bank,Haryana,KAITHAL,"G. H. Sector-18, Bypass Road, Near bus stand, Kaithal By pass",136027,"09416121227, 09991717988, 09466484634","Bloodbankghktl@gmail.com, gulabsungroya@gmail.com",,Government,NO,29.793446,76.421959
Haryana Institute of Medical Sciences (HIMS) Hospital Blood Bank,Haryana,KAITHAL,"NH-152, Village-Ujhana, Ambala Road, Kaithal",,,hims.ktl@gmail.com,,Private,,29.844728,76.441361
Kapisthal Blood Bank,Haryana,KAITHAL,"Plot No. 11, Rishi Nagar, Kaithal
Karnal Road
",136027,,kapisthalbloodbank123@gmail.com,,Private,NO,0,0
General Hospital Blood Bank Karnal,Haryana,KARNAL,"Old Court Road, Karnal",132001,9466119091,rbtcghknl@gmail.com,,Government,YES,29.696067,76.994185
Nirmal Institute of Medical Sciences and Technology Blood Bank,Haryana,KARNAL,"69, Jarnally Colony, Opposite Kalpana Chawla Medical College, Karnal.",132001,"09991455777, 09896244555",nims1999@gmail.com,,Charity,YES,28.4734936,77.2906064
Pandit Ram Prakash Hospital and Kidney Centre Blood Bank,Haryana,KARNAL,"Civil Hospital Road, Karnal",132001,"09416130301, 9896922924","gd.sharma@rediffmail.com, balwinderkumar175@gmail.com",,Private,,0,0
Save Life Blood Bank,Haryana,KARNAL,"16, Jarnally Colony, 1st floor, Opposite to General Hospital, Karnal",132001,9896217504,sikkalab@gmail.com,,Private,YES,28.701048,77.103863
LNJP District Government Hospital Blood Bank ,Haryana,KURUKSHETRA," Thanesar, Kurukshetra, SH-6, Kaithal Kurukshetra Road, ",136118,"09467734580, 09355370569","mnjt1972@yahoo.co.in, cskkr@gmail.com",,Government,NO,29.964985,76.820558
Kurukshetra Blood Bank,Haryana,KURUKSHETRA,"SCO.07-08 BASMENT,  Near LIC Building",136118,"09355231078, 093544 59907","kbloodbankk@gmail.com, sushaadkunj@gmail.com",,Private,YES,29.970016,76.838528
Adesh Blood Bank,Haryana,KURUKSHETRA,"NH - 1, Near Ambala Cantt., Village Mohri, TEHSIL. SHAHBAD (M)",136135,,,http://amch.ac.in/,Private,,0,0
Civil Hospital Narnaul ,Haryana,MAHENDRAGARH,"New Mohalla Mandi, Narnaul",123001,9812198175,bloodbankghnarula@gmail.com,,Government,NO,0,0
General Hospital Blood Bank Mandikhera,Haryana,MEWAT,"Mandikhera, Mewat",122108,,bbghcsmwt@gmail.com,,Government,NO,0,0
Shaheed Hasan Khan Mewati Government Medical College Blood Bank  ,Haryana,MEWAT,"Nalhar, Tehsil Nuh, Mewat",122107,9416731609,gmcmewat@gmail.com,http://www.gmcmewat.ac.in/,Government,NO,28.091167,76.971562
Diamond Blood Bank LLT,Haryana,PALWAL,"Om premia Hospital, 56 km Stone,NH-2, Delhi Mathura Road, Palwal, Faridabad",121102,9899207036,bloodbank@ompremiahospital.com,,Private,YES,0,0
General Hospital Blood Bank Palwal,Haryana,PALWAL,New Sohna Road,121102,9813389010,bloodbankpalwal@gmail.com,,Government,NO,28.136087,77.327024
Command Hospital Blood Bank,Haryana,PANCHKULA,"Chandimandir Cantonment, Panchkula",134109,080908 00659,,,Government,,30.712615,76.854089
Alchemist Hospital Panchkula Blood Bank,Haryana,PANCHKULA,"Sector 21, Panchkula",134112,9780887019,"bloodbank@alchemisthospitals.com, gp.saluja@alchemisthosptals.com",http://www.alchemisthospitals.com/,Private,YES,28.439332,77.10227
District Hospital Panchkula Blood Bank,Haryana,PANCHKULA,"Civil Hospital Blood Bank, Sector 6",134109,9876058060,bbghpkl@gmail.com,,Government,NO,30.710793,76.845878
N.C. Medical College and Hospital Blood Bank,Haryana,PANIPAT,"N.C. Medical College and Hospital, Panipat-Rohtak Road, Israna, Panipat",,,info@sdctrust.org,,Government,,29.286568,76.878961
Red Cross Blood Bank,Haryana,PANIPAT,"Indian Red Cross Society, Red Cross Bhawan, G.T. Road",132103,090340 09006,redcrosssocietypnp@gmail.com,,Charity,NO,29.39369,76.969115
Prem Blood Bank,Haryana,PANIPAT,"A unit of Lala Harbhagwan Dass Memorial & Dr. Prem Hospital Pvt. Ltd., Bishan Sarop Colony, Opp Bus Stand, ",132103,7206403131,"premhospitaldr@gmail.com, admin@drpremhospital.com",http://www.drpremhospital.com/,Private,YES,29.398644,76.966314
Bharat Blood Bank,Haryana,PANIPAT,"467-D/4, West Press Colony, Near Bust Stand, Sukhdev Nagar",132103,"09416200014, 09254800007",bloodbank.bharat@gmail.com,,Charity,YES,0,0
Panipat Blood Bank,Haryana,PANIPAT,"332-R Model Town, Near Ramlal Chowk",132103,9416016332,"bkgupta35@gmail.com, ishakanavgupta@gmail.com",,Charity,NO,29.391662,76.957172
